year,date,WLN,method,clitellata_hirudinida,insecta_ephemeroptera,insecta_odonata,insecta_hemiptera,insecta_coleoptera,insecta_diptera,insecta_trichoptera,gastropoda_basommatophora,crustacea,mollusca
2018,6/4/18,DC9,DN,1,2,1,0,0,7,0,8,16,0
2018,6/4/18,DC9,BT1,0,0,0,37,0,0,0,4,9,0
2018,6/4/18,DC9,BT2,0,0,3,27,6,0,0,0,3,0
2018,6/4/18,DC9,BT3,0,0,0,3,2,0,0,1,1,0
2018,6/4/18,WSP4,DN,3,0,0,0,0,1,0,5,1,0
2018,6/4/18,WSP4,BT1,3,0,0,3,9,2,0,1,1,1
2018,6/4/18,WSP4,BT2,0,0,0,0,0,0,0,0,0,0
2018,6/4/18,WSP4,BT3,0,0,0,0,0,0,0,0,0,0
2018,6/5/18,B17,DN,5,0,18,0,0,0,1,2,37,0
2018,6/5/18,B17,BT1,1,1,5,4,10,2,0,1,6,0
2018,6/5/18,B17,BT2,0,0,0,0,0,0,0,0,0,0
2018,6/5/18,B17,BT3,0,0,0,0,0,0,0,0,0,0
2018,6/5/18,B1,DN,12,7,15,0,0,9,0,58,1,0
2018,6/5/18,B1,BT1,3,0,5,76,23,4,3,4,0,0
2018,6/5/18,B1,BT2,0,0,0,0,0,0,0,0,0,0
2018,6/5/18,B1,BT3,0,0,0,0,0,0,0,0,0,0
2018,6/6/18,DC8,DN,1,0,1,0,0,0,0,36,0,0
2018,6/6/18,DC8,BT1,2,0,1,71,49,0,0,1,1,0
2018,6/6/18,DC8,BT2,0,0,0,0,0,0,0,0,0,0
2018,6/6/18,DC8,BT3,0,0,0,0,0,0,0,0,0,0
2018,6/6/18,E31,DN,0,0,0,0,0,0,0,0,0,0
2018,6/6/18,E31,BT1,0,0,0,3,3,0,0,0,0,0
2018,6/6/18,E31,BT2,0,0,0,0,0,0,0,0,0,0
2018,6/6/18,E31,BT3,0,0,0,6,17,0,0,0,0,0
2018,6/6/18,E9,DN,0,0,0,0,0,0,0,0,0,0
2018,6/6/18,E9,BT1,0,0,0,0,6,0,0,0,0,0
2018,6/6/18,E9,BT2,0,0,0,0,0,0,0,0,0,0
2018,6/6/18,E9,BT3,0,0,0,0,0,0,0,0,0,0
2018,6/6/18,MH2,DN,1,1,1,0,0,1,2,2,1,1
2018,6/6/18,MH2,BT1,0,0,0,14,0,1,1,1,1,1
2018,6/6/18,MH2,BT2,0,0,0,0,0,0,0,0,0,0
2018,6/6/18,MH2,BT3,0,0,0,0,0,0,0,0,0,0
2018,6/6/18,R2,DN,2,1,2,0,0,1,0,3,2,1
2018,6/6/18,R2,BT1,2,0,3,12,10,0,1,4,2,0
2018,6/6/18,R2,BT2,0,0,0,0,0,0,0,0,0,0
2018,6/6/18,R2,BT3,0,0,0,0,0,0,0,0,0,0
2018,6/10/18,NCR1,DN,0,0,1,0,0,0,0,4,0,0
2018,6/10/18,NCR1,BT1,1,0,0,1,8,0,0,1,0,1
2018,6/10/18,NCR1,BT2,0,0,0,0,0,0,1,0,0,0
2018,6/10/18,NCR1,BT3,1,0,0,3,5,0,0,1,0,0
2018,6/10/18,NCR2,DN,0,0,1,0,0,0,0,8,0,0
2018,6/10/18,NCR2,BT1,2,0,0,0,0,0,0,1,0,0
2018,6/10/18,NCR2,BT2,1,0,0,0,0,0,0,0,0,0
2018,6/10/18,NCR2,BT3,1,0,0,0,0,0,0,4,0,0
2018,6/11/18,H56,DN,0,0,0,0,0,0,0,0,0,0
2018,6/11/18,H56,BT1,0,0,0,91,38,0,0,0,0,0
2018,6/11/18,H56,BT2,0,0,0,0,0,0,0,0,0,0
2018,6/11/18,H56,BT3,0,0,0,0,0,0,0,0,0,0
2018,6/11/18,H4,DN,0,0,0,0,0,0,0,0,0,0
2018,6/11/18,H4,BT1,0,0,0,8,2,0,0,0,0,0
2018,6/11/18,H4,BT2,0,0,0,0,0,0,0,0,0,0
2018,6/11/18,H4,BT3,0,0,0,0,0,0,0,0,0,0
2018,6/12/18,B3,DN,0,4,7,0,0,1,1,85,0,50
2018,6/12/18,B3,BT1,0,0,3,19,5,0,0,3,0,0
2018,6/12/18,B3,BT2,0,0,0,0,0,0,0,0,0,0
2018,6/12/18,B3,BT3,0,0,0,0,0,0,0,0,0,0
2018,6/12/18,B2,DN,10,0,5,0,0,0,0,74,0,24
2018,6/12/18,B2,BT1,5,0,1,5,41,0,1,6,0,0
2018,6/12/18,B2,BT2,0,0,0,0,0,0,0,0,0,0
2018,6/12/18,B2,BT3,0,0,0,0,0,0,0,0,0,0
2018,6/13/18,DC5,DN,3,0,1,0,0,0,0,153,208,2
2018,6/13/18,DC5,BT1,10,0,0,251,27,0,0,0,27,0
2018,6/13/18,DC5,BT2,0,0,0,0,0,0,0,0,0,0
2018,6/13/18,DC5,BT3,0,0,0,0,0,0,0,0,0,0
2018,6/14/18,SSP1,DN,0,0,0,0,0,0,0,0,2,0
2018,6/14/18,SSP1,BT1,1,0,1,17,0,0,0,0,1,0
2018,6/14/18,SSP1,BT2,0,0,0,0,0,0,0,0,0,0
2018,6/14/18,SSP1,BT3,0,0,0,0,0,0,0,0,0,0
2018,6/14/18,SSP3,DN,2,0,1,0,0,0,1,1,1,1
2018,6/14/18,SSP3,BT1,1,0,1,186,7,1,0,1,2,0
2018,6/14/18,SSP3,BT2,0,0,0,0,0,0,0,0,0,0
